course_code,course_name,credits,day,start_time,end_time,room,lecturer,exam_date,exam_session
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,F,9:30,12:30,SCO 318,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN; ASST.PROF.DR.CHAIWAT; ASST.PROF.DR.CHAIWAT,,
BID4902,SPECIAL PROBLEM IN BIODIVERSITY,3,F,13:30,16:30,SCO 318,DR.ATCHANEEY; DR.ATCHANEEY; DR.ATCHANEEY; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN; ASST.PROF.DR.CHAIWAT; ASST.PROF.DR.CHAIWAT; ASST.PROF.DR.CHAIWAT,,
BIO1001,"(BI103,BY101)INTRODUCTION TO BIOLOGY",3,M,7:30,9:20,SBB 401,DR.ATCHANEEY; ASST.PROF.DR.SUPANEE; ASST.PROF.DR.SUBHALAI; ASST.PROF.DR.WARAKORN; ASST.PROF.DR.PATCHARAWADE,15-10-25,B
BIO1105,"(BI115,BY115)PRINCIPLES OF BIOLOGY",3,TU,11:10,13:40,KTB 201,,22-10-25,B
BIO1106,"(BI116,BY116)PRINCIPLES OF BIOLOGY",1,M,9:30,12:30,SCL 401,,21-10-25,B
BIO1106,"(BI116,BY116)PRINCIPLES OF BIOLOGY",1,M,13:30,16:30,SCL 401,,21-10-25,B
BIO1106,"(BI116,BY116)PRINCIPLES OF BIOLOGY",1,W,9:30,12:30,SCL 401,,21-10-25,B
BIO1106,"(BI116,BY116)PRINCIPLES OF BIOLOGY",1,W,13:30,16:30,SCL 401,,21-10-25,B
BIO2201,"(BI221,BY221)ECOLOGY",3,W,9:30,11:20,SCO 320,ASST.PROF.DR.CHAIWAT,,
BIO2201,"(BI221,BY221)ECOLOGY",3,W,13:30,16:30,SCO 315,ASST.PROF.DR.CHAIWAT; ASST.PROF.DR.CHAIWAT,,
BIO2202,"(BI203,BY222)LIFE AND SYSTEM ECOLOGY",3,TU,9:30,11:20,VKB 401,ASSOC.PROF.DR.THAMASAK,27-10-25,A
BIO2203,"(BI105,BY223)PLANT AND WILDLIFES OF THAILAND",3,W,9:30,11:20,SCL 515,DR.ATCHANEEY,,
BIO2701,GENETICS,3,TU,11:30,13:20,SCL 512,ASST.PROF.DR.SUBHALAI,17-10-25,B
BIO2702,GENETICS LABORATORY,1,M,9:30,12:30,SCO 315,ASST.PROF.DR.SUBHALAI,19-10-25,B
BIO3202,BIOLOGICAL PRINCIPLES IN MANAGEMENT OF,3,W,13:30,15:20,SCO 320,DR.WICHIN,,
BIO3401,SYSTEMATICS AND BIODIVERSITY,4,TH,9:30,12:00,SCL 512,ASSOC.PROF.DR.KANOKORN,,
BIO3401,SYSTEMATICS AND BIODIVERSITY,4,TH,13:30,16:30,SCL 512,ASSOC.PROF.DR.KANOKORN; ASSOC.PROF.DR.KANOKORN,,
BIO3602,CELL BIOLOGY,4,F,7:30,9:20,SCL 515,ASST.PROF.DR.SUPANEE; DR.THANYANUCH,21-10-25,B
BIO3602,CELL BIOLOGY,4,F,9:30,12:30,SCL 515,ASST.PROF.DR.SUPANEE; DR.THANYANUCH; ASST.PROF.DR.SUPANEE; DR.THANYANUCH,21-10-25,B
BIO3703,"(ZO301,BZ381)EVOLUTION",3,TU,11:30,13:20,SCL 515,ASST.PROF.PORNCHAI,,
BIO3704,PRINCIPLE OF EVOLUTION,3,TU,9:30,11:20,SCL 515,ASST.PROF.DR.KOWIT,,
